 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
62,0.134,1.946,0.446,0.772,0.317,2.437,0.494
63,0.052,1.014,0.630,0.437,0.198,2.206,0.295
64,0.047,0.840,0.842,0.323,0.194,1.665,0.250
65,0.012,0.394,0.993,0.158,0.109,1.456,0.131
66,0.120,1.556,0.620,0.632,0.333,1.900,0.459
67,0.017,0.622,0.552,0.265,0.115,2.316,0.174
68,0.117,2.061,0.345,0.564,0.494,1.143,0.528
69,0.561,6.955,0.146,1.453,1.138,1.277,1.286
70,0.023,0.556,0.924,0.222,0.130,1.700,0.170
71,0.051,0.840,0.901,0.351,0.196,1.795,0.262
72,0.055,0.906,0.838,0.337,0.253,1.335,0.292
73,0.086,1.091,0.908,0.412,0.292,1.412,0.347
74,0.033,0.653,0.975,0.248,0.196,1.267,0.220
75,0.040,0.747,0.893,0.290,0.174,1.668,0.225
76,0.075,1.124,0.748,0.459,0.237,1.933,0.330
77,0.529,7.429,0.121,1.719,1.064,1.616,1.352
78,0.261,3.390,0.285,1.134,0.532,2.132,0.777
79,0.016,0.438,1.000,0.166,0.130,1.269,0.147
80,0.281,3.546,0.281,1.152,0.555,2.077,0.800
81,0.259,3.558,0.257,0.894,0.695,1.286,0.788
82,0.216,3.333,0.244,0.937,0.678,1.382,0.797
83,0.054,0.975,0.712,0.374,0.238,1.569,0.299
84,0.650,8.412,0.115,1.605,1.083,1.482,1.318
85,0.302,4.695,0.172,1.742,0.519,3.358,0.950
86,0.095,1.395,0.610,0.531,0.313,1.694,0.408
87,0.159,2.038,0.481,0.772,0.340,2.270,0.512
88,0.031,0.760,0.668,0.303,0.174,1.741,0.229
89,0.276,4.027,0.214,1.191,0.522,2.281,0.789
90,0.094,1.618,0.451,0.554,0.362,1.529,0.448
91,0.055,1.413,0.345,0.479,0.255,1.874,0.350
92,0.152,2.593,0.284,0.901,0.426,2.113,0.620
93,0.244,3.174,0.305,0.965,0.638,1.513,0.785
94,0.026,0.568,1.000,0.217,0.174,1.250,0.194
95,0.068,1.180,0.614,0.496,0.206,2.410,0.320
96,0.200,2.834,0.313,1.066,0.403,2.646,0.655
97,0.180,2.371,0.402,0.785,0.398,1.973,0.559
98,0.148,2.749,0.246,1.156,0.272,4.242,0.561
99,0.081,1.162,0.756,0.486,0.217,2.236,0.325
100,0.014,0.530,0.634,0.231,0.123,1.879,0.169
101,0.085,1.198,0.741,0.418,0.311,1.345,0.361
102,0.098,1.339,0.686,0.543,0.292,1.863,0.398
103,0.108,1.524,0.586,0.507,0.370,1.372,0.433
104,0.042,0.740,0.954,0.275,0.213,1.290,0.242
105,0.233,2.818,0.369,0.948,0.608,1.558,0.759
106,0.255,3.430,0.272,0.916,0.646,1.418,0.770
107,0.088,1.370,0.592,0.529,0.265,1.996,0.374
108,0.017,0.550,0.686,0.243,0.087,2.795,0.145
109,0.076,1.408,0.479,0.561,0.275,2.038,0.393
110,0.142,1.656,0.652,0.660,0.296,2.230,0.442
111,0.013,0.420,0.943,0.166,0.109,1.523,0.134
112,0.014,0.407,1.000,0.157,0.130,1.202,0.143
113,0.028,0.876,0.457,0.323,0.164,1.975,0.230
114,0.047,1.024,0.560,0.448,0.190,2.361,0.292
115,0.011,0.420,0.775,0.179,0.087,2.062,0.125
116,0.112,1.907,0.387,0.778,0.257,3.034,0.447
117,0.034,0.709,0.838,0.275,0.190,1.446,0.229
118,0.407,5.360,0.178,1.825,0.686,2.660,1.119
119,0.142,1.982,0.455,0.665,0.401,1.659,0.516
120,0.088,1.180,0.793,0.454,0.283,1.606,0.358
121,0.019,0.512,0.906,0.194,0.151,1.286,0.171
122,0.075,1.249,0.605,0.508,0.239,2.122,0.348
123,0.041,0.763,0.887,0.269,0.231,1.166,0.249
124,0.035,0.753,0.786,0.303,0.183,1.658,0.235
125,0.119,1.799,0.462,0.717,0.256,2.804,0.428
126,0.019,0.481,1.000,0.187,0.152,1.229,0.169
127,0.121,1.559,0.623,0.580,0.348,1.668,0.449
128,0.153,2.342,0.351,0.818,0.446,1.836,0.604
129,0.042,0.771,0.880,0.265,0.239,1.110,0.252
