 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1046,0.081,1.798,0.315,0.746,0.214,3.484,0.400
1047,0.016,0.638,0.503,0.294,0.100,2.945,0.171
1048,0.051,1.853,0.186,0.779,0.203,3.836,0.398
1049,0.018,0.554,0.745,0.220,0.133,1.651,0.171
1050,0.014,0.488,0.764,0.214,0.112,1.918,0.155
1051,0.022,0.847,0.383,0.335,0.120,2.801,0.200
1052,0.032,0.922,0.478,0.390,0.158,2.467,0.248
1053,0.010,0.684,0.265,0.316,0.055,5.701,0.132
1054,0.046,1.171,0.417,0.502,0.154,3.263,0.278
1055,0.025,0.903,0.389,0.358,0.130,2.753,0.216
1056,0.021,0.948,0.288,0.439,0.092,4.752,0.201
1057,0.054,1.287,0.413,0.551,0.156,3.519,0.294
1058,0.012,0.945,0.169,0.449,0.067,6.706,0.174
1059,0.005,0.269,0.804,0.124,0.074,1.667,0.096
1060,0.007,0.343,0.789,0.134,0.097,1.373,0.114
1061,0.042,1.259,0.337,0.337,0.247,1.368,0.289
1062,0.008,0.562,0.318,0.259,0.065,4.000,0.130
1063,0.015,0.543,0.629,0.231,0.105,2.192,0.156
1064,0.016,0.531,0.699,0.239,0.087,2.748,0.144
1065,0.008,0.473,0.466,0.190,0.100,1.896,0.138
1066,0.009,0.527,0.404,0.244,0.067,3.656,0.127
1067,0.017,0.562,0.661,0.239,0.124,1.924,0.172
1068,0.010,0.457,0.574,0.225,0.074,3.018,0.129
1069,0.019,0.537,0.844,0.196,0.141,1.389,0.166
1070,0.053,1.256,0.419,0.442,0.273,1.618,0.347
1071,0.045,1.308,0.328,0.379,0.291,1.303,0.332
1072,0.036,0.996,0.452,0.428,0.168,2.554,0.268
1073,0.009,0.399,0.681,0.179,0.070,2.550,0.112
1074,0.027,0.781,0.564,0.298,0.167,1.782,0.223
1075,0.013,0.556,0.513,0.273,0.074,3.667,0.143
1076,0.009,0.364,0.877,0.145,0.088,1.649,0.113
1077,0.017,0.562,0.673,0.236,0.128,1.843,0.174
1078,0.008,0.442,0.514,0.214,0.072,2.966,0.124
1079,0.089,2.610,0.164,0.930,0.370,2.513,0.587
1080,0.006,0.442,0.415,0.205,0.058,3.504,0.109
1081,0.006,0.304,0.796,0.141,0.070,2.016,0.100
1082,0.011,0.409,0.855,0.166,0.105,1.572,0.132
1083,0.044,1.415,0.276,0.573,0.228,2.517,0.361
1084,0.008,0.343,0.854,0.128,0.105,1.213,0.116
1085,0.006,0.269,0.965,0.111,0.070,1.581,0.088
1086,0.004,0.279,0.646,0.124,0.053,2.357,0.081
1087,0.009,0.364,0.819,0.157,0.088,1.789,0.117
1088,0.070,1.822,0.264,0.636,0.334,1.906,0.460
1089,0.039,1.046,0.449,0.379,0.217,1.743,0.287
1090,0.016,0.562,0.624,0.261,0.107,2.441,0.167
1091,0.027,1.281,0.205,0.561,0.147,3.824,0.287
1092,0.010,0.393,0.803,0.157,0.099,1.581,0.125
1093,0.008,0.477,0.424,0.229,0.071,3.239,0.127
1094,0.009,0.388,0.743,0.166,0.076,2.199,0.112
1095,0.011,0.508,0.554,0.217,0.088,2.474,0.138
1096,0.010,0.657,0.287,0.292,0.084,3.492,0.156
