Distance (µm),Pb Mα1 ,O Kα1 ,"Fe Lα1, 2 ","Ni Lα1, 2 "
22.27442805,25,41,372,242
22.32064055,23,45,379,274
22.36685306,32,45,392,226
22.41306556,44,29,372,236
22.45927807,16,31,403,261
22.50549058,38,31,376,242
22.55170308,27,36,373,213
22.59791559,33,29,401,248
22.6441281,24,35,373,241
22.6903406,21,37,346,227
22.73655311,22,23,411,226
22.78276561,32,27,388,266
22.82897812,39,39,392,258
22.87519063,20,34,396,255
22.92140313,36,32,354,243
22.96761564,23,37,400,242
23.01382815,30,23,343,218
23.06004065,28,37,373,248
